"id","name","url","address","facility_type","license_type","capacity","ages"
818,"Fredericksburg Children\'s Academy","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=38231;search_require_client_code-2106=1;search_require_client_code-2101=1","365 Ferry RoadFREDERICKSBURG, VA  22405","Child Day Center","Two Year","209","1 month-12 years11 months"
819,"Fredericksburg Preschool","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=17211;search_require_client_code-2106=1;search_require_client_code-2101=1","810 Princess Anne StreetFREDERICKSBURG, VA  22401","Child Day Center","Two Year","16","3 years-5 years11 months"
820,"Free Union Country School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=9096;search_require_client_code-2106=1;search_require_client_code-2101=1","4220 Free Union RoadFREE UNION, VA  22940","Child Day Center","Two Year","25","2 years6 months-12 years11 months"
821,"Freedom Aquatic and Fitness Center Preschool/Summer Camps","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=43838;search_require_client_code-2106=1;search_require_client_code-2101=1","9100 Freedom Center BoulevardMANASSAS, VA  20110","Child Day Center","Two Year","300","3 years-12 years11 months"
822,"Freedom Montessori School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=39651;search_require_client_code-2106=1;search_require_client_code-2101=1","4229 Lafayette Center Drive #1825CHANTILLY, VA  20151","Child Day Center","Two Year","32","1 year6 months-6 years11 months"
823,"Fremont Street Nursery Inc.","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=8000;search_require_client_code-2106=1;search_require_client_code-2101=1","533 Fremont StreetWINCHESTER, VA  22601","Child Day Center","Two Year","84","1 month-12 years11 months"
824,"Friends Association for Children","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=8134;search_require_client_code-2106=1;search_require_client_code-2101=1","1004 St. John StreetRICHMOND, VA  23220","Child Day Center","Two Year","100","2 years-12 years11 months"
825,"Frog Pond Early Learning Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=22162;search_require_client_code-2106=1;search_require_client_code-2101=1","7204 Harrison LaneALEXANDRIA, VA  22306","Child Day Center","Two Year","64","1 year4 months-6 years11 months"
826,"From Russia With Love","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41921;search_require_client_code-2106=1;search_require_client_code-2101=1","3637 Virginia Beach BoulevardVIRGINIA BEACH, VA  23452","Child Day Center","Two Year","34","4 months-10 years11 months"
827,"Full Circle Montessori School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=32013;search_require_client_code-2106=1;search_require_client_code-2101=1","870 S. Greenbrier StreetARLINGTON, VA  22204","Child Day Center","Two Year","150","2 years6 months-9 years11 months"
828,"Full Circle Montessori School (N. Fairfax Drive)","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=35403;search_require_client_code-2106=1;search_require_client_code-2101=1","2230 North Fairfax DriveARLINGTON, VA  22201","Child Day Center","Two Year","25","2 years6 months-5 years11 months"
829,"Full Circle Montessori School - Wakefield Street","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=40211;search_require_client_code-2106=1;search_require_client_code-2101=1","801 N. Wakefield StreetARLINGTON, VA  22203","Child Day Center","Two Year","27","2 years6 months-6 years11 months"
830,"Full Circle Montessori School - Washington Blvd.","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=40212;search_require_client_code-2106=1;search_require_client_code-2101=1","5819 Washington Blvd.ARLINGTON, VA  22205","Child Day Center","Two Year","28","12 months-3 years6 months"
831,"Fun Bot Lab","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=38973;search_require_client_code-2106=1;search_require_client_code-2101=1","7005 Georgetown PikeMC LEAN, VA  22101","Short Term Child Day Center","Two Year","132","4 years-12 years11 months"
832,"Fun Bot Lab @ St. Charles School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=43733;search_require_client_code-2106=1;search_require_client_code-2101=1","3229 N. Fairfax StreetARLINGTON, VA  22201","Short Term Child Day Center","Two Year","95","5 years-12 years11 months"
833,"Fun Farm Centers, Inc.","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=36938;search_require_client_code-2106=1;search_require_client_code-2101=1","121 Commerce Park DriveMANQUIN, VA  23106","Child Day Center","Two Year","115","1 month-12 years11 months"
834,"Funland Before & After School Program","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=30730;search_require_client_code-2106=1;search_require_client_code-2101=1","9501 Dean Park LaneMANASSAS, VA  20110","Child Day Center","Two Year","300","5 years-12 years11 months"
835,"Funshine Preschool","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=21639;search_require_client_code-2106=1;search_require_client_code-2101=1","3440 South 22nd StreetARLINGTON, VA  22206","Child Day Center","Two Year","60","Birth-6 years11 months"
836,"Fuqua School Early Learning Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=16195;search_require_client_code-2106=1;search_require_client_code-2101=1","605 Fuqua DriveFARMVILLE, VA  23901","Child Day Center","Two Year","40","2 years6 months-12 years11 months"
837,"Future Excellence CCC","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=32256;search_require_client_code-2106=1;search_require_client_code-2101=1","3118 Cofer RoadRICHMOND, VA  23224","Child Day Center","Two Year","58","1 month-12 years11 months"
838,"G.H. Reid Elementary School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=29140;search_require_client_code-2106=1;search_require_client_code-2101=1","1301 Whitehead RoadRICHMOND, VA  23225","Child Day Center","Two Year","80","5 years-12 years11 months"
839,"G.W. Carver Elementary School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=39567;search_require_client_code-2106=1;search_require_client_code-2101=1","1110 West Leigh StreetRICHMOND, VA  23220","Child Day Center","Two Year","80","5 years-12 years11 months"
840,"GILES HEALTH & FAMILY CENTER","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41621;search_require_client_code-2106=1;search_require_client_code-2101=1","701 WENONAH AVENUEPEARISBURG, VA  24134","Child Day Center","Two Year","16","1 month-2 years11 months"
841,"GRYMES MEMORIAL SCHOOL, JUNIOR KINDERGARTEN","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=36771;search_require_client_code-2106=1;search_require_client_code-2101=1","13775 Spicers Mill RoadORANGE, VA  22960","Child Day Center","Two Year","20","3 years-6 years11 months"
842,"Galax Early Head Start Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=37214;search_require_client_code-2106=1;search_require_client_code-2101=1","103 Hospital DriveGALAX, VA  24333","Child Day Center","Two Year","24","1 month-3 years11 months"
843,"Galax Head Start Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=13272;search_require_client_code-2106=1;search_require_client_code-2101=1","125 Rosenwald Felts DriveGALAX, VA  24333","Child Day Center","Two Year","40","2 years11 months-5 years11 months"
844,"Gan Israel Preschool","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=29319;search_require_client_code-2106=1;search_require_client_code-2101=1","3939 Prince William DriveFAIRFAX, VA  22031","Child Day Center","Two Year","38","1 year6 months-5 years11 months"
845,"Garden School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=40778;search_require_client_code-2106=1;search_require_client_code-2101=1","13710 Milestone CourtGAINESVILLE, VA  20155","Child Day Center","Two Year","55","3 years-12 years11 months"
846,"Garden of Children","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=8516;search_require_client_code-2106=1;search_require_client_code-2101=1","4 Hoopes RoadNEWPORT NEWS, VA  23602","Child Day Center","Two Year","164","1 month-12 years11 months"
847,"General Booth KinderCare #1238","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=10901;search_require_client_code-2106=1;search_require_client_code-2101=1","1801 General Booth Blvd.VIRGINIA BEACH, VA  23454","Child Day Center","Two Year","165","1 month-12 years11 months"
848,"General Heiser Boys and Girls Club","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=42403;search_require_client_code-2106=1;search_require_client_code-2101=1","17565 Old Stage Coach RoadDUMFRIES, VA  22026","Child Day Center","Two Year","200","5 years-12 years11 months"
849,"Generations","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=24609;search_require_client_code-2106=1;search_require_client_code-2101=1","216 College Ridge Road218 College Ridge RoadCEDAR BLUFF, VA  24609","Child Day Center","Two Year","60","1 month-12 years11 months"
850,"Generations Crossing","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=35697;search_require_client_code-2106=1;search_require_client_code-2101=1","3765 Taylor Spring LaneROCKINGHAM, VA  22801","Child Day Center","Two Year","108","1 month-12 years11 months"
851,"Generations Montessori School of Charlottesville","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41871;search_require_client_code-2106=1;search_require_client_code-2101=1","1525 Stony Point RoadCHARLOTTESVILLE, VA  22911","Child Day Center","Two Year","42","2 months-12 years11 months"
852,"Genesis Learning Center @ Airport","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=40061;search_require_client_code-2106=1;search_require_client_code-2101=1","35 Williamsburg RoadSANDSTON, VA  23150","Child Day Center","Two Year","172","1 month-12 years11 months"
853,"Genesis Learning Center @ Bensley Commons","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=40537;search_require_client_code-2106=1;search_require_client_code-2101=1","2700 Bensley Commons BoulevardNORTH CHESTERFIELD, VA  23237","Child Day Center","Two Year","152","1 month-12 years11 months"
854,"Genesis Learning Center @ Cloverleaf","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=37631;search_require_client_code-2106=1;search_require_client_code-2101=1","7500 Cloverleaf DriveN. CHESTERFIELD, VA  23225","Child Day Center","Two Year","150","1 month-12 years11 months"
855,"Genesis Learning Center @ Wall Street","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=42549;search_require_client_code-2106=1;search_require_client_code-2101=1","1731 Wall StreetRICHMOND, VA  23224","Child Day Center","Two Year","116","1 month-12 years11 months"
856,"Geneva Square Head Start","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=40732;search_require_client_code-2106=1;search_require_client_code-2101=1","700 Geneva AvenueCHESAPEAKE, VA  23323","Child Day Center","Two Year","17","3 years-5 years11 months"
857,"Gentle Touch Learning Center LLC","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41130;search_require_client_code-2106=1;search_require_client_code-2101=1","3621 Turnpike RoadPORTSMOUTH, VA  23707","Child Day Center","Provisional","30","2 years6 months-5 years11 months"
858,"George Mason University Child Development Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=42688;search_require_client_code-2106=1;search_require_client_code-2101=1","4402 University DriveFAIRFAX, VA  22030","Child Day Center","Two Year","145","2 years-11 years11 months"
859,"Georgetown South EHS CDC","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=29181;search_require_client_code-2106=1;search_require_client_code-2101=1","9444 Taney RoadMANASSAS, VA  20110-5933","Child Day Center","Two Year","40","1 month-3 years11 months"
860,"Gesher JDS Junior Kindergarten and Before/After Care Program","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=35382;search_require_client_code-2106=1;search_require_client_code-2101=1","4800 Mattie Moore CourtFAIRFAX, VA  22030","Child Day Center","Two Year","32","3 years-12 years11 months"
861,"Ghent Montessori","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=10585;search_require_client_code-2106=1;search_require_client_code-2101=1","610 Mowbray ArchNORFOLK, VA  23507","Child Day Center","Two Year","107","2 years-12 years11 months"
862,"GiGi\'s Grow N Know Academy","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=40481;search_require_client_code-2106=1;search_require_client_code-2101=1","3233 BoulevardCOLONIAL HEIGHTS, VA  23834","Child Day Center","Two Year","100","1 month-12 years11 months"
863,"Gifted Minds Academy, Inc.","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=36721;search_require_client_code-2106=1;search_require_client_code-2101=1","3500 King StreetPORTSMOUTH, VA  23707","Child Day Center","Two Year","32","1 month-12 years11 months"
864,"Gingerbread Cottage Preschool, Inc. - Mechanicsville","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=37946;search_require_client_code-2106=1;search_require_client_code-2101=1","6930 Cold Harbor RoadMECHANICSVILLE, VA  23111","Child Day Center","Two Year","34","3 years-5 years11 months"
865,"Gingerbread House Day Care Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=11712;search_require_client_code-2106=1;search_require_client_code-2101=1","305 Crescent DriveFRANKLIN, VA  23851","Child Day Center","Two Year","81","1 month-10 years11 months"
866,"Ginter Park Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=40110;search_require_client_code-2106=1;search_require_client_code-2101=1","3817 Chamberlayne AvenueRichmond Parks & RecreationRICHMOND, VA  23227","Child Day Center","Two Year","80","5 years-12 years11 months"
867,"Girls Inc at Greendale Elementary School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=43941;search_require_client_code-2106=1;search_require_client_code-2101=1","13092 McGuffie RoadABINGDON, VA  24210","Child Day Center","Two Year","25","5 years-12 years"
868,"Girls Inc at Valley Institute Elementary School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=43943;search_require_client_code-2106=1;search_require_client_code-2101=1","4350 Gate City HwyBRISTOL, VA  24202","Child Day Center","Two Year","25","5 years-13 years"
869,"Girls Inc. at Meadowview Elementary School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=43944;search_require_client_code-2106=1;search_require_client_code-2101=1","14050 Glenbrook AveMEADOWVIEW, VA  24361","Child Day Center","Two Year","25","5 years-12 years"
870,"Girls Incorporated of Bristol","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=17809;search_require_client_code-2106=1;search_require_client_code-2101=1","613 Highland AvenueBRISTOL, VA  24201","Child Day Center","Two Year","149","5 years-12 years11 months"
871,"Givens Child Development Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=39976;search_require_client_code-2106=1;search_require_client_code-2101=1","8153 Swords Creek RoadSWORDS CREEK, VA  24649","Child Day Center","Two Year","40","3 years-5 years11 months"
872,"Glade Spring Head Start Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=39250;search_require_client_code-2106=1;search_require_client_code-2101=1","337 North Glade StreetGLADE SPRING, VA  24340","Child Day Center","Two Year","40","3 years-5 years11 months"
873,"Global Engineers Academy","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=44258;search_require_client_code-2106=1;search_require_client_code-2101=1","2932 East Virginia Beach BoulevardNORFOLK, VA  23504","Child Day Center","Conditional","40","2 years-5 years11 months"
874,"Gloria Dei Lutheran Church","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=8424;search_require_client_code-2106=1;search_require_client_code-2101=1","250 Fox Hill RoadHAMPTON, VA  23669","Child Day Center","Two Year","380","1 year4 months-12 years11 months"
875,"Gloria Dei Lutheran School & Child Care II","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41149;search_require_client_code-2106=1;search_require_client_code-2101=1","50 Willow Oaks BoulevardHAMPTON, VA  23669","Child Day Center","Two Year","175","5 years-12 years11 months"
876,"Gloucester Learning Center - Hayes","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=11707;search_require_client_code-2106=1;search_require_client_code-2101=1","2475 Hayes RoadHAYES, VA  23072","Child Day Center","Two Year","99","1 month-12 years11 months"
877,"Gloucester Montessori School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=21845;search_require_client_code-2106=1;search_require_client_code-2101=1","8381 George Washington Memorial HwyGLOUCESTER, VA  23061","Child Day Center","Two Year","57","2 years6 months-12 years11 months"
878,"Gloucester YMCA","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41978;search_require_client_code-2106=1;search_require_client_code-2101=1","6898 Main StreetGLOUCESTER, VA  23061","Child Day Center","Two Year","28","5 years11 months-12 years11 months"
879,"Goddard  School - Ashburn","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=33187;search_require_client_code-2106=1;search_require_client_code-2101=1","45091 Research PlaceASHBURN, VA  20147","Child Day Center","Two Year","190","1 month-10 years11 months"
880,"Goddard School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=25127;search_require_client_code-2106=1;search_require_client_code-2101=1","2189 McComas WayVA BEACH, VA  23456","Child Day Center","Two Year","190","1 month-12 years11 months"
881,"Goddard School - Leesburg","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=40286;search_require_client_code-2106=1;search_require_client_code-2101=1","601 Tavistock Drive, SELEESBURG, VA  20175","Child Day Center","Two Year","169","1 month-12 years11 months"
882,"Goddard School - Rivers Bend","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=33374;search_require_client_code-2106=1;search_require_client_code-2101=1","13036 Rivers Bend BoulevardCHESTER, VA  23836","Child Day Center","Two Year","286","1 month-12 years11 months"
883,"Golden Care Child Care Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=37182;search_require_client_code-2106=1;search_require_client_code-2101=1","1820 W Queen StreetHAMPTON, VA  23666","Child Day Center","Two Year","56","Birth-12 years11 months"
884,"Golden Path Academy","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=43957;search_require_client_code-2106=1;search_require_client_code-2101=1","21631 Ridgetop CircleSuite 150STERLING, VA  20166","Child Day Center","Conditional","125","1 month-12 years11 months"
885,"Golden Pond School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=26337;search_require_client_code-2106=1;search_require_client_code-2101=1","43940 Farmwell Hunt PlazaASHBURN, VA  20147","Child Day Center","Two Year","284","2 years-9 years11 months"
886,"Goochland Family YMCA - Byrd Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=42176;search_require_client_code-2106=1;search_require_client_code-2101=1","2704 Hadensville-Fife RoadGOOCHLAND, VA  23063","Child Day Center","Two Year","80","4 years10 months-12 years11 months"
887,"Goochland Family YMCA - Randolph Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=20809;search_require_client_code-2106=1;search_require_client_code-2101=1","1552 Sheppard Town RoadCROZIER, VA  23039","Child Day Center","Two Year","60","4 years11 months-12 years11 months"
888,"Good 4 Kidz Day Care Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41519;search_require_client_code-2106=1;search_require_client_code-2101=1","2901 S. Crater RoadPETERSBURG, VA  23805","Child Day Center","Two Year","65","Birth-12 years6 months"
889,"Good Shepherd School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=43911;search_require_client_code-2106=1;search_require_client_code-2101=1","37018 Glendale StreetPURCELLVILLE, VA  20134","Child Day Center","Two Year","30","3 years-6 years11 months"
890,"Gordon Barbour Child Care Program - Orange County Government","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=15709;search_require_client_code-2106=1;search_require_client_code-2101=1","500 W. Baker StreetGordon Barbour Elementary SchoolGORDONSVILLE, VA  22942","Child Day Center","Two Year","50","4 years8 months-12 years11 months"
891,"Grace A Child Academy.","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=39657;search_require_client_code-2106=1;search_require_client_code-2101=1","125 Scattergood DriveCHRISTIANSBURG, VA  24073","Child Day Center","Provisional","146","1 month-12 years11 months"
892,"Grace Children\'s Learning Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=23289;search_require_client_code-2106=1;search_require_client_code-2101=1","9750 Wellington RoadMANASSAS, VA  20110-6086","Child Day Center","Two Year","200","1 month-10 years11 months"
893,"Grand Kids Child Care","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=31473;search_require_client_code-2106=1;search_require_client_code-2101=1","3152 Hickory Fork RoadGLOUCESTER, VA  23061","Child Day Center","Two Year","96","1 month-12 years11 months"
894,"Grandy Village Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=39336;search_require_client_code-2106=1;search_require_client_code-2101=1","2971 Kimball CircleNORFOLK, VA  23504","Child Day Center","Two Year","53","3 years-5 years11 months"
895,"Grasshopper Green Preschool","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=16655;search_require_client_code-2106=1;search_require_client_code-2101=1","100 W. Washington StreetSTRASBURG, VA  22657","Child Day Center","Two Year","25","3 years-5 years11 months"
896,"Grasshopper Green and Kenwood School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=10196;search_require_client_code-2106=1;search_require_client_code-2101=1","4955 Sunset LaneANNANDALE, VA  22003","Child Day Center","Two Year","183","1 year-12 years11 months"
897,"Great Beginnings Early Learning Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=36030;search_require_client_code-2106=1;search_require_client_code-2101=1","618 N. Washington StreetALEXANDRIA, VA  22314","Child Day Center","Two Year","100","1 month-5 years11 months"
898,"Great Bridge Child Care-Albemarle","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=8825;search_require_client_code-2106=1;search_require_client_code-2101=1","520 Albemarle DriveCHESAPEAKE, VA  23322","Child Day Center","Two Year","124","1 year4 months-11 years11 months"
899,"Great Bridge Child Care-Mt. Pleasant","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=9272;search_require_client_code-2106=1;search_require_client_code-2101=1","701 Fentress RoadCHESAPEAKE, VA  23322","Child Day Center","Two Year","137","2 years6 months-11 years"
900,"Great Bridge Children\'s Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=8461;search_require_client_code-2106=1;search_require_client_code-2101=1","253 Fresno DriveCHESAPEAKE, VA  23322","Child Day Center","Two Year","91","1 month-12 years11 months"
901,"Great Bridge KinderCare #1267","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=11146;search_require_client_code-2106=1;search_require_client_code-2101=1","929 Cedar Rd.CHESAPEAKE, VA  23322","Child Day Center","Two Year","150","1 month-12 years11 months"
902,"Great Bridge Preschool","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=16841;search_require_client_code-2106=1;search_require_client_code-2101=1","201 Stadium DriveCHESAPEAKE, VA  23320","Child Day Center","Two Year","157","1 month-5 years11 months"
903,"Great Bridge-Hickory Family YMCA Summer Camp","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=35043;search_require_client_code-2106=1;search_require_client_code-2101=1","633 Battlefield BoulevardCHESAPEAKE, VA  23322","Short Term Child Day Center","Two Year","140","4 years-12 years11 months"
904,"Great Day Learning Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=32664;search_require_client_code-2106=1;search_require_client_code-2101=1","11155 N. Shore DriveRESTON, VA  20190","Child Day Center","Two Year","120","Birth-12 years11 months"
905,"Great Falls Village Green Day School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=9142;search_require_client_code-2106=1;search_require_client_code-2101=1","790 Walker RoadGREAT FALLS, VA  22066","Child Day Center","Two Year","150","2 years-12 years11 months"
906,"Great Neck Preschool","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=16385;search_require_client_code-2106=1;search_require_client_code-2101=1","2225 Rosehall DriveVA. BEACH, VA  23454","Child Day Center","Two Year","120","2 years-5 years11 months"
907,"Great Things Christian Childcare Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=38657;search_require_client_code-2106=1;search_require_client_code-2101=1","1020 N. George Washington HighwayCHESAPEAKE, VA  23323","Child Day Center","Two Year","40","1 month-12 years6 months"
908,"Greater Hope Learning Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41145;search_require_client_code-2106=1;search_require_client_code-2101=1","2001 Ginter StreetRICHMOND, VA  23228","Child Day Center","Two Year","32","1 year6 months-12 years11 months"
909,"Greater Mt. Vernon Community Head Start-Gum Springs Glen","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=27428;search_require_client_code-2106=1;search_require_client_code-2101=1","7839 Richmond HighwayALEXANDRIA, VA  22306","Child Day Center","Two Year","76","1 month-3 years11 months"
910,"Greater West Point YMCA - West Point Elementary School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=36069;search_require_client_code-2106=1;search_require_client_code-2101=1","1060 Thompson AvenueWEST POINT, VA  23181","Short Term Child Day Center","Two Year","75","4 years9 months-12 years11 months"
911,"Greater Works","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41331;search_require_client_code-2106=1;search_require_client_code-2101=1","168 Commerce  DriveDENDRON, VA  23839","Child Day Center","Two Year","35","1 year4 months-12 years11 months"
912,"Green Hedges School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=13890;search_require_client_code-2106=1;search_require_client_code-2101=1","415 Windover AvenueVIENNA, VA  22180","Child Day Center","Two Year","60","3 years-12 years11 months"
913,"Greenbrier KinderCare #1288","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=11147;search_require_client_code-2106=1;search_require_client_code-2101=1","725 Greenbrier ParkwayCHESAPEAKE, VA  23320","Child Day Center","Two Year","150","1 month-12 years11 months"
914,"Greenbrier Manor School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=28261;search_require_client_code-2106=1;search_require_client_code-2101=1","700 Warrington SquareCHESAPEAKE, VA  23320","Child Day Center","Two Year","167","2 years-10 years11 months"
915,"Greenbrier Montessori School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=23274;search_require_client_code-2106=1;search_require_client_code-2101=1","1100 Greenbrier ParkwayCHESAPEAKE, VA  23320","Child Day Center","Two Year","65","2 years-12 years11 months"
916,"Greene County Child Care Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=9841;search_require_client_code-2106=1;search_require_client_code-2101=1","204 New Life DriveRUCKERSVILLE, VA  22968","Child Day Center","Two Year","115","1 year4 months-12 years11 months"
917,"Greene County Enrichment Program","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=8204;search_require_client_code-2106=1;search_require_client_code-2101=1","1 Monroe DriveSTANARDSVILLE, VA  22973","Child Day Center","Two Year","75","4 years9 months-12 years11 months"
918,"Greentree Christian Preschool","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=17653;search_require_client_code-2106=1;search_require_client_code-2101=1","7600 Ox RoadFAIRFAX STATION, VA  22039","Child Day Center","Two Year","200","2 years-12 years11 months"
919,"Greenvale School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=8627;search_require_client_code-2106=1;search_require_client_code-2101=1","627 Westwood Blvd. N.W.ROANOKE, VA  24017","Child Day Center","Two Year","200","1 month-5 years11 months"
920,"Greenwood Country Day School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=8104;search_require_client_code-2106=1;search_require_client_code-2101=1","3704 Brandermill ParkwayMIDLIOTHIAN, VA  23112","Child Day Center","Two Year","99","1 year2 months-12 years11 months"
